Samples.ID	Samples	BTC_ID	B2M	B4GALT1	CLTC	E2F4	GAPDH	POLR2A	SDHA	TBP	TCL1A	AKR1C3	AQP1	ARC	BEX1	BMP2	CCL2	CD163	CD44	CDH4	CDK4	CDKN2A	CDKN2C	CFI	CHI3L1	CLEC2B	COL1A2	COL6A3	CYB5R2	DARC	DENND2A	DLL3	DNM3	DPYD	EDNRB	EGFR	EMP3	FABP5	FABP7	G0S2	GATM	GPNMB	GRIA2	GRIK1	HGF	HP	IGF2BP3	IGFBP2	IGFBP6	IL8	SEL1L3	LGALS3	LOC390940	LTF	MDM2	MET	MGMT	MMP7	NCAM1	NNMT	OLIG2	OMG	PDGFA	PDGFRA	PDPN	PI3	PLA2G2A	PLAT	PRKCZ	PROM1	PTEN	PTGDS	PTX3	RGN	RTN1	S100A4	S100A9	SAA2	SEC61G	SERPINA1	SLC4A4	SOCS2	SOX9	SPRY2	SRPX	STEAP3	TAGLN	TCF12	TIMP1	TMEM100	TUSC3	VEGFA	EGFREX30	EGFRVIII	EGFRVII	PDGFRAD89	PDGFRADCt	KIAABRAF16.915.9	KIAABRAF16.11	HOXA5	NPTX2	DYRK3	CYP27B1	CTDSP2	AVIL	FAM119	CHIC2	MDM4	REN	SOX13	GOLT1A	CAPZA2	KRIT1	CDK6	SAMD9	SAMD9L	SOX2	PIK3CA	RHOB	DDX1	MYCN	LAPTM4A	NAG	RDH14	HS1BP3	GEN1	CEP170	AKT3	ZNF238	SDCCAG8	WT1	HIPK3	CCND2	DYRK4	CDKN2B	FAF1	RERE	ENO1	H6PD	SPSB1	KPNA3	RB1	PHF11	CAB39L	SETDB2	PARK2	NF1	EVI2B	ANGPTL4	CA9	EGLN3	GLUT1	PDK1
X1.FFPE	X1.FFPE	1.FFPE	64702.6236951523	1226.89198438158	11283.4517696763	1088.91279999231	452678.862630946	4740.05429460064	5414.02954142514	590.06497950803	1	176.127426340225	5950.02560386038	1672.67088779306	10322.9043706587	287.572152193096	1831.87763901145	1693.89845462218	10312.2905872442	276.958368778537	3800.73446241216	1	5536.08805069257	1455.0883277946	166775.378792967	823.568214628331	1386.09873559996	144.286076096548	149.592967803827	160.206751218387	834.18199804289	2792.42503802904	2070.68776583903	1094.21969169959	6172.91505556612	6804.43516873239	2463.39775217771	1322.41603511261	6841.58341068334	579.451196093471	12238.6922769866	24874.4014320193	1258.73333462525	85.9102673164728	69.9895921946342	850.102673164728	1550.61237852563	45990.5235352846	685.589030239062	3084.30408192942	1428.5538692582	28122.2191568743	383.096202924128	4177.52377362901	5376.88129947419	287.572152193096	245.117018534859	420.244444875085	7138.769346291	1417.94008584364	6406.41829068642	1741.66047998769	1057.07144974863	3784.81378729032	29799.1969363747	616.599438044428	802.340647799212	1051.76455804135	568.837412678912	2182.1324916919	4872.72658728263	31009.1682456344	5302.58481557227	1566.53305364747	807.647539506492	2659.75274534706	2643.83207022522	176.127426340225	11649.6272974786	85.9102673164728	8348.74065555074	489.234037069719	13151.4776506387	3025.92827314934	4941.71617947726	1481.622786331	2198.05316681373	7059.16597068181	6167.60816385884	1688.5915629149	314.106610729494	29926.5623373494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X2.FFPE	X2.FFPE	2.FFPE	130477.723534222	2308.38782925334	2234.63570685711	1123.08586217114	55724.6794769053	2745.6325548881	3505.54281600636	504.094834917109	1	280.204463357139	813.590348544127	4220.67500281261	3487.1047854073	459.316760605115	5122.82149998073	2552.03323359801	4189.06695035709	965.045599893518	1079.6247900448	223.573369374323	2740.36454614552	1104.64783157209	75939.3460243993	1486.57846540968	791.20131138813	106.360174851751	447.463740934293	305.22750488443	547.555907043457	1242.93306106501	1685.44579544236	986.117634863868	2754.85157018763	10975.5792129955	1479.99345448145	16866.529989394	11520.8181178533	2081.86345332208	9245.03834105547	2125.32452544842	2046.30439430961	610.772011954507	319.714528926546	714.815184620611	826.760370400596	4233.84502466908	585.748970427216	2114.78850796325	643.697066595679	9586.14190713802	315.763522369605	286.789474285374	2026.54936152491	306.544507070077	625.259035996623	469.85277809029	4386.61727820412	1104.64783157209	6105.3051304733	1566.91559873414	990.068641420809	12818.0652707155	7511.86346474417	355.273587939012	323.665535483486	1427.31336705557	540.970896115222	514.630852402284	4016.53966403735	4995.07228797298	2174.05360631736	701.645162764142	1265.32209822101	2224.09968937194	21713.0980325745	48.4120786832878	11387.800897103	297.325491770549	3728.11618538068	747.740239261783	4328.66918203566	3389.64662366943	5612.74631304137	2149.03056479007	1377.26728400099	3787.38128373479	3704.41014603904	555.457920157338	189.331312547504	4909.46714590593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X3.FFPE	X3.FFPE	3.FFPE	131576.94885521	3024.04034383828	3291.24699646796	1088.91279999231	69150.264462669	3134.316105241	1913.86032279349	578.887403504686	20.0861894735493	175.956736840868	249.12046315614	135.663670174486	1176.92134034256	728.395887714155	3895.64299646369	9430.63794379298	6594.21811925163	117.637824560579	1190.7058105179	26.448252631399	1649.83470174273	2758.95437892787	468814.011694931	2926.48870875125	12978.5484981539	3914.72918593724	355.154849120303	285.172154383956	227.913585963308	34.931003508532	364.697943857078	3661.30700348289	1134.5075859569	637.206315784975	981.818070168504	4281.60816137324	11812.1702525481	869.421621046492	1958.39476489844	1857.66209823249	285.172154383956	171.715361402302	901.23193683574	3242.47117892445	364.697943857078	9792.21519993077	2851.20429471669	2169.40319296712	3607.22946664117	15756.6494104149	656.292505258525	2808.79054033103	3156.58332629348	1015.74907367704	609.637375434293	388.025508769193	1913.86032279349	10337.2319437866	414.534105260234	46.5947859645899	371.060007014927	605.395999995727	9814.48242098325	70.9826947363473	14851.115754281	1665.73985963735	35.9913473681737	135.663670174486	5274.09001399781	179.137768419793	1611.66232279563	608.577031574652	5761.84818943295	3918.97056137581	6874.14889819702	32.8103157892488	4472.47005610874	1225.69715788608	3428.03135436173	1399.5935508673	2134.41184559895	2468.42016138606	33599.0555366046	4483.07349470515	2378.29093331653	1975.36026665271	41002.3763646224	359.39622455887	350.913473681737	4135.2807087427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X4.FFPE	X4.FFPE	4.FFPE	72584.4485905715	3666.43475194082	2810.83995556533	1006.54439986398	129724.068084597	3121.51985298919	2863.76334503186	568.456342613298	16.6810042863778	124.487908755226	92.1458374145712	616.47941824033	851.694482535998	435.167806179087	10410.2466578512	9172.42738199524	6878.10044234458	294.038767601686	1264.30090782132	28.4417575011612	2021.88942740695	1513.23685086756	192415.743158767	5415.84679263985	4803.30756270322	1214.31770665849	324.420713406543	121.54772045153	483.190881806119	175.451172685954	422.426990196405	2640.30903395097	2360.99114509987	1452.47295925785	1575.96086801308	31767.7744958978	6179.31568883287	7704.29335568312	3277.34983308507	4246.6319105368	468.48994028764	88.2255863429768	299.919144209078	828.172976106431	597.858225650257	9155.76631494097	2997.05188146607	62778.9205977458	3539.026592114	20868.4964540973	240.135315367262	579.237033060183	2584.44545618075	1294.68285362617	396.945358231041	1783.73417480758	1601.44249997844	8133.56084802271	828.172976106431	182.311612061244	732.126824852367	4923.85528315475	28204.2662718185	3032.33414111042	18788.8032606165	1073.18866808109	101.946465093557	276.397637779511	4364.23944268464	628.240171455114	19408.2029299284	365.583349658285	783.090088783095	2252.20417786312	12292.9472349844	757.608456817731	6614.46355777986	1287.82241425088	3045.0749570931	934.019755039482	2206.14122777188	1796.47499079026	8803.92378126536	3995.73584195476	5529.53407371609	2225.74248312986	18755.4811265079	1842.5379408815	144.089164113198	34962.7791192473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X5.FFPE	X5.FFPE	5.FFPE	82624.2949529628	2903.69118281092	3583.20158692951	1316.93590942531	79476.6353454787	3810.93605207795	3777.69913013736	729.750288475006	1	210.269508514782	149.950650178169	643.580490851273	1977.98135691024	488.474855128552	8475.18409773977	7402.98561587874	7645.4920463341	534.021748158239	1787.17680502911	13.3099710891048	2038.30021524685	3682.91235275126	448331.378062307	1556.98034566285	3771.54414459281	745.753250890843	247.199421782097	386.302095088981	378.916112435519	450.313944752327	722.364305821544	4297.17991009759	3074.79978094948	1138.44132863329	1220.91813493029	24244.2570628831	14263.3325038369	1821.64472407861	8286.84154007647	2662.41574946447	1096.58742693033	236.120447801902	820.844074534382	2440.83626986058	442.927962098864	5445.70021271107	9770.1930563136	8811.24630847233	4521.2213839193	11068.8950062142	436.772976554311	474.933886930536	5076.40108003792	681.741401227498	303.825288791979	1470.81054803912	2754.74053263275	1556.98034566285	1236.92109734613	133.947687762332	664.507441702751	1884.42557663304	16826.2684845885	9531.37961718497	9685.25425579878	1931.20346677164	79.783814970271	271.819363960306	4100.22037267191	911.937860593758	13449.643414847	570.951661425554	843.002022494771	2859.37528689014	7308.19883849263	1134.74833730656	3986.96863865215	2234.02875556362	3556.11965053348	679.279407009677	3004.63294574158	4649.24508324599	6162.14053009697	3526.57571991963	19038.3702893006	3990.66162997888	32408.2298891774	574.644652752286	215.193496950424	13976.5101774607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X6.FFPE	X6.FFPE	6.FFPE	77508.9751139928	2032.91374366348	3888.49592127745	1174.83513445746	127220.124170624	3939.75509745464	3074.50020358381	668.394473826905	18.4281199002418	111.719820542712	1750.98827468898	1475.21390685574	811.920167123013	927.765905283444	6311.00458741106	2893.04271991659	6899.4599299251	872.405995012088	1509.04496313268	7.15110114126179	1868.8843798965	2139.53283011202	230804.667389472	1184.06178616935	4604.07402071091	1337.8393147009	65.5865619832489	38.9317903711144	672.495207921079	1088.71971847979	569.976855566716	2488.09522811685	10327.673632655	9474.72094106671	1932.4457583562	20038.2119676603	20624.6169431273	761.686174469375	19164.7556056011	2076.99663517586	2344.56953482074	524.868780530796	71.7376631245106	5179.20197741889	740.157320474959	7775.99184255491	3157.54006899084	10233.356748489	2159.01131705935	14415.0803410235	555.624286237105	1545.95156998025	4121.21258112186	101.467985307276	522.818413483709	2705.4341351081	4426.71727113786	1887.33768332028	2672.62826235471	39.956973894658	1444.45840114943	2038.0396612812	19657.8688804256	214.238172897076	11055.553934371	2757.71849480883	217.313723467706	184.50785071431	3683.45921656873	5070.53252392326	7744.21115332506	951.345126324947	397.746023611386	2956.60409837629	6506.81464040789	3317.46869866365	18048.3307484621	476.685154924245	4029.97124752648	1224.04394358755	5518.53772371183	2774.12143118553	5384.23868212761	1569.53079102176	11581.4730819489	4287.29231193593	11023.7732451411	485.911806636138	628.412316408703	44580.0803377713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X646_workingFolder20100901_HuseNano1	X646	646	57191.3773818988	1205.75571903158	7751.45014914904	978.1424243409	278019.041335005	3089.72690661467	3558.00139187003	655.569443011745	10.423480353436	131.478958739883	1452.21597442914	1329.71072983447	9096.83319037805	287.328826123632	2767.87880838963	1463.0892209908	6398.09339377481	140.902439093319	3631.93946848929	5.34929862466276	4786.67825333726	1095.57348720679	98105.2295441014	859.986478370895	583.081132600699	211.940983296144	153.225451863197	89.4357387014761	626.574118847327	1613.14002354166	2246.6878565342	938.273853614824	4408.2892729916	4611.98142524663	1335.50979466736	1356.53140468656	3436.22103037947	564.234171893827	9088.85947623283	23027.6366851729	2042.99570427917	94.5099204302493	157.574750487859	717.909389965245	2082.13939190113	28138.0625691516	565.683938102048	3854.4785814512	1669.68090566228	15970.8996666575	277.905345770196	6922.18387804667	5208.56021992954	177.146594298842	119.880829074115	514.942120814316	5868.20384467006	2609.12940858943	6032.75230930314	1273.89473081797	717.184506861134	3746.47099893875	14620.4424436998	388.087577594986	1513.10615517442	876.658789765435	433.755213153945	2470.67673570434	5149.8446884966	12860.4262669196	3683.40616888114	1763.91570919664	405.484772093637	1979.93087422156	2525.76785161673	823.742323165372	8732.21698901049	94.5099204302493	7088.90699199208	442.45381040327	9918.85063043931	1545.00101175528	5349.18754212697	1224.60267973846	912.178061866848	6855.49463246851	3752.27006377163	1734.19550192811	232.237710211237	25146.4699984877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X627_workingFolder20100901_HuseNano1	X627	627	125420.093764658	2321.69944805811	2802.98640328091	1123.35338545883	77987.9977828327	1719.60362148384	2944.25484155481	729.750288475006	5.87132545772063	237.746417245223	254.308923801473	861.276075833463	5751.11257029343	779.437808143757	3631.11173109341	2501.93848999377	5072.04980148718	1006.44157447354	1897.89413323641	262.103044533826	3934.10817456364	2521.42379182465	147445.304689196	1330.87184995773	1039.56658758604	334.198661308091	244.566272886032	315.687624568753	501.772257053681	859.327545650375	1600.74328031545	833.996653270228	3217.04906718716	654.731876426109	1762.47128551178	21979.4462001439	17241.5950599649	1676.7359574559	7338.19040441881	1782.93085243421	8926.24250363574	322.507480209562	374.1435300614	752.158385580521	1629.97123306178	3841.55299086695	1576.38665302685	5439.34774099931	1624.12564251251	13813.1562028211	478.389894856622	441.367821377945	1568.5925322945	434.547965737136	539.768595623902	1661.14771599119	4877.19678317835	2242.78397564303	6022.93253083424	1309.43801794376	803.79443543236	31614.9279555153	21967.7550190454	1648.48226980112	280.614081273164	2035.26551114414	401.422952624636	1402.967466732	4788.53865984784	379.989120610665	1988.50078675002	347.838372589709	777.489277960669	2247.65530110075	9243.85292347913	166.625065562501	4130.90972305555	191.955957942649	7348.9073204258	1280.21006519744	4977.5460876074	1690.37566873751	4551.79224260261	1787.80217789193	1587.10356903384	8593.04384232765	7137.49179556072	710.264986644124	213.389789956619	14462.0167537895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X668_workingFolder20100901_HuseNano1	X668	668	179991.008074053	2935.57600156473	3960.66761854966	1214.02508009884	88308.622836127	2745.6325548881	2137.61252716665	993.931879981489	1	172.853594612181	43.2096548170269	86.4243014154115	1709.48602830823	1605.97187482838	3012.96036872927	7616.82771912928	10144.3820492441	79.389358945907	1780.84044478463	1	1981.83880105619	4262.165152957	683520.030304181	3590.83064301	4191.81572826195	1921.53929417472	629.119863348614	248.227978214015	256.267912464877	1	932.627381318665	6437.9723595966	1158.75053212417	196.973397364768	1227.08997325649	8437.90600449858	28886.4737797854	768.813720957346	2780.80726723563	627.109879785899	794.943507272648	294.457600156472	2142.63748607343	5726.43817839529	733.639008609823	11153.3937977273	4905.35989302598	501.485907116176	5684.22852357826	21314.8656990359	1047.19644439345	4869.1801888971	3915.44298838856	1105.4859677122	838.158153871033	495.455956428029	3139.58933318035	13677.9331524981	337.672246754857	14.0648931576512	316.567419346344	480.381079707662	16809.4875432089	7.0299506881467	35151.5925447698	2290.37127793303	1	155.768734329099	5991.75600867374	134.663906920585	2208.96694364305	933.632373100022	7467.08394370697	4914.4048190582	3932.52784867165	1	5684.22852357826	1536.62744191469	7939.43008094513	2954.67084541052	4185.78577757381	2467.249831452	52733.9237596242	4846.06537792587	1373.81877333473	3344.60765657734	44434.7016291716	580.880257843441	360.787057726086	5569.65946050347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X679_workingFolder20100901_HuseNano1	X679	679	72549.4576758199	2595.0953288717	4072.31540972657	1069.4418027429	121600.913711445	2413.9542435472	3607.35433509684	989.042283588175	11.6553579602646	357.470157216126	66.869485572545	557.984620650196	19883.8979538538	433.995000748935	6609.25927317503	4484.96836346045	5599.90627366632	465.961074629729	1458.8467027453	13.5926957712218	1949.96183782295	1522.77885050688	175146.024799586	4790.09906868621	1877.31166991205	320.660738807939	248.010570897044	125.95828880674	549.266600500889	361.34483283804	2055.54674852012	2583.47130200595	4393.91348634546	982.261601249824	1207.96145622634	35673.201113155	12527.8262856493	3909.57903360616	5950.56441744958	2291.9019614569	4675.79613783974	465.961074629729	341.002785822989	1053.94310025524	788.527820154104	5343.20901371449	1776.57010374228	32993.8629206012	2739.42699578801	15141.2949926306	370.062852987348	94.9608838314245	2709.39825971817	1100.43920771821	461.117730102336	2208.59643558573	6755.5282779023	5780.07869008534	2439.13963508964	2783.98576544003	945.452182841637	6215.01102864524	23776.9782849723	2813.04583260438	16751.222713536	1052.00576244428	1454.97202712338	382.655548758569	7053.87830078971	2719.08494877296	12158.7634326619	765.279766422617	3276.06956942315	1898.62238583258	9381.58968065479	422.370973883192	6333.18863511362	856.334643537606	7934.39833586975	1540.2148908055	3718.75125922688	1614.80239652735	8523.34903040074	2179.53636842138	3372.93645997102	4111.06216594571	10675.7313383742	1942.21248657912	1031.66371542923	26478.5958623521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
